ResortName,PassAffiliation,Latitude,Longitude
Greek Peak,Indy,42.5085935,-76.1448481
Hickory Ski Center,Indy,43.2994285,-74.2179326
Holiday Mountain,,41.6295998,-74.6147972
Holiday Valley,,42.2625806,-78.6673967
Holimont,,42.2732483,-78.689067
Hunt Hollow,Indy,42.6511775,-77.4769336
Hunter Mountain,Epic,42.1778661,-74.2304216
Kissing Bridge,,42.5998353,-78.6524412
Labrador Mountain,,42.741791,-76.030215
Maple Ski Ridge,Indy,42.817071,-74.0323068
McCauley,,43.74,-74.9
Mount Peter,,41.2414828,-74.2907059
Oak Mountain   ,,43.5139754,-74.3607386
Peek'n Peak Resort,Indy,42.0623302,-79.7355401
Plattekill,,41.6239741,-74.0593872
Powder Mills Park,,43.0480515,-77.4774955
Ridin' Hy Ranch,,43.6322639,-73.7381417
Rocking Horse Ranch,,41.692411,-74.0173103
Royal Mountain Ski Area,,40.7127753,-74.0059728
Skaneateles,Indy Allied,42.947011,-76.4291017
Ski Venture,,42.9215432,-74.0363091
Snow Ridge,Indy,43.6397478,-75.4201233
Song Mountain,,42.7739341,-76.1571146
Swain,Indy,42.4778443,-77.8533322
Thunder Ridge,,41.5081012,-73.5850081
Titus Mountain Family Ski Center,Indy,43.2994285,-74.2179326
Toggenburg,,42.84,-75.99
Val Bialas Ski Center,,43.2994285,-74.2179326
Victor Constant Ski Area at West Point,,41.3955293,-73.9835345
Villa Roma Ski Resort,,41.7627411,-74.9749298
West Mountain,Indy,43.285651,-73.725285
Whiteface (Lake Placid),,44.35,-73.86
Willard Mountain,,43.020657,-73.515881
Windham,Ikon,42.3073065,-74.2520875
Woods Valley,,33.6789981,-84.7788253
Appalchian Ski Mountain,,36.1745755,-81.6625748
Beech Mountain,,36.2109584,-81.8890031
Cataloochee,Indy,35.6401005,-83.0801441
Hatley Pointe,Indy,35.9547691,-82.5088477
Sapphire Valley,,35.1070374,-83.0029198
Sugar Mountain,,36.127349,-81.8601122
Bottineau Winter Park,Indy,48.950695,-100.4749526
Frost Fire Park,,48.9119929,-98.0687408
Huff Hills,Indy,46.627425,-100.723214
Thrill Hills,,46.5320298,-97.9355987
Alpine Valley Resort,Epic,41.52687,-81.259745
Big Creek Ski Area,,41.6455268,-81.1832962
Boston Mills,Epic,41.2648274,-81.5643802
Mad River,Epic,40.06794764,-83.9115954
Snow Trails,,40.672657,-82.5008163
Anthony Lakes,,44.9595833,-118.2315508
Cooper Spur,Indy,45.4124145,-121.6051177
Ferguson Ridge,,45.2816851,-117.1126418
Hoodoo Ski Area,Indy,44.4086439,-121.8714158
Mount Ashland,Freedom,42.0806826,-122.716849
Mount Bachelor,Ikon,43.9791666,-121.6886111
Mount Hood Meadows,Indy,45.3317552,-121.6651847
Mount Hood Skibowl,Powder Alliance,45.3019084,-121.773296
Spout Springs,,35.2696039,-79.0597492
Timberline Lodge (Inc. Summit),Powder Alliance,43.575035,-83.3540649
Warner Canyon,,42.237374,-120.2946384
Willamette Pass,Power,43.600278,-122.035952
Bear Creek Mountain Resort,Indy,40.4763102,-75.6255779
Big Boulder,Epic,41.050189,-75.601282
Blue Knob,Indy,40.2884091,-78.5616833
Blue Mountain PA,Ikon,40.1245315,-77.6663793
Boyce Park,,40.4666418,-79.744503
Camelback Resort,Ikon,41.0492313,-75.3511871
Eagle Rock,,40.92,-75.9
Elk Mountain   ,,41.7234046,-75.5534275
Hidden Valley PA,Epic,40.1067745,-75.3779632
Jack Frost Ski Resort,Epic,41.1075149,-75.6530785
Laurel Mountain Ski Resort,Epic,40.1638863,-79.1653833
Liberty Mountain Resort,Epic,39.76366,-77.375459
Locust Lake Village,,41.14129,-75.5480491
Montage Mountain Resorts,Indy,41.3512429,-75.6629169
Mount Pleasant,,32.7906369,-79.8780297
Mystic Mountain Ski Area,,39.8072982,-79.5655972
Pocono Ranchlands,,41.1680471,-74.9507547
Roundtop,Epic,30.0652201,-96.6960867
Saw Creek,,41.1125946,-75.0507305
Seven Springs,Epic,40.0219309,-79.29024
Shawnee Mountain,Indy,41.0396694,-75.0852961
Ski Big Bear,Indy,41.5232598,-75.0250626
Ski Denton,,41.7747878,-78.0205602
Ski Sawmill,Indy,41.5194205,-77.2893401
Skytop Lodge,,41.2282515,-75.2381928
Spring Mountain   ,,40.2756574,-75.4565657
The Hideout,,41.4361323,-75.3509132
Tussey Mountain Ski Resort,Indy,40.769202,-77.7539318
Whitetail Resort,Epic,39.7417652,-77.9333126
Yawgoo,Freedom,41.5175274,-71.5272242
Deer Mountain Village,,44.3083919,-103.8182534
Great Bear Ski Valley,Indy,43.5780023,-96.6645469
Terry Peak,Indy,44.3274841,-103.8352015
Ober Mountain,Indy,35.714259,-83.5101638
Alta,"Ikon, Mountain Collective",40.5888394,-111.6379793
Beaver Mountain,Indy,41.968075,-111.544144
Brian Head,Power,37.6927551,-112.8507766
Brighton,Ikon,40.6,-111.58
Buckskin Hills Ski and Tubing Hill,,40.4783097,-109.433027
Cherry Peak,"Indy Allied, Freedom",41.9263482,-111.7564058
Deer Valley,Ikon,40.6226082,-111.485089
Eagle Point,Indy,-37.8933646,147.6737286
Gateway Parks Salt Lake,,40.7907315,-111.9004553
Gateway Spanish Forks,,40.114955,-111.654923
Nordic Valley,Power,41.3013786,-111.8560438
Park City,Epic,40.6460622,-111.4979729
Powder Mountain,,41.378963,-111.780685
Snowbasin,"Ikon, Mountain Collective",41.2006148,-111.8614496
Snowbird,"Ikon, Mountain Collective",40.5829259,-111.6556388
Solitude,Ikon,40.6207147,-111.5914881
Sundance Resort,Power,40.3934222,-111.5887709
Utah Olympic Park,,40.7117318,-111.5618557
Wasatch Peaks Ranch,,41.1000625,-111.8166875
Woodward Park City,,40.754513,-111.58564
Ascutney,,43.4445164,-72.4537019
Bellows Falls,,43.133411,-72.4439772
Bolton Valley,"Indy, Uphill New England",44.4223862,-72.8512726
Brattleboro,,42.8509152,-72.5578678
Bromley,Uphill New England,43.23,-72.94
Burke Mountain,Indy Allied,44.5711658,-71.8923159
Cochran's Ski Area,,44.3952427,-72.9815631
Haystack,,42.92,-72.91
Hermitage Club,,42.9223962,-72.8947984
Jay Peak,Indy,44.9649254,-72.4602429
Killington,"Ikon, Uphill New England",43.6775677,-72.7798247
Lyndon Outing Club,,44.5333103,-71.9872058
Mad River Glen,,44.2024842,-72.9175431
Magic Mountain Ski Area,"Indy, Uphill New England",43.2017518,-72.7725584
 Middlebury Snowbowl,Indy Uphill New Englang,43.9391922,-72.9575872
Mount Snow,Epic,42.9602444,-72.9204014
Northeast Slopes,,44.0726057,-72.2504924
Okemo Mountain Resort,Epic,43.4104106,-72.7290044
Pico Mountain Ski Resort,"Ikon, Uphill New England",43.6617926,-72.8426568
Quechee,,43.646227,-72.4186105
Smugglers' Notch,,44.5553294,-72.795679
Stowe,Epic,44.4654332,-72.6874023
Stratton,Ikon,43.0428562,-72.9109334
Sugarbush,Ikon,44.1361621,-72.9078617
Saskadena Six,Indy,43.6650614,-72.5432659
Vermont Tech,,43.938717,-72.604721
Bryce,Indy,37.6739665,-112.1564018
Homestead Ski Slopes,,37.9970597,-79.8247115
Massanutten,Indy,38.4095701,-78.7378004
Wintergreen,Indy,37.8848619,-78.8994672
49� North Mountain Resort,Indy,48.3010972,-117.5629161
Badger Mountain,,46.2334679,-119.318352
Bluewood,Indy,46.0824682,-117.8511137
Crystal Mountain,Ikon,46.9281666,-121.5045349
Echo Valley Ski Area,,47.9356859,-120.0553446
Hurricane Ridge,Indy,47.9331457,-123.4096267
Leavenworth Ski Hill,,47.6141122,-120.668688
Loup Loup Ski Bowl,Indy,48.3943616,-119.91097
Meany Lodge,,47.2803426,-121.3201943
Mission Ridge,"Indy, Powder Alliance",47.2924657,-120.399871
Mt. Baker,,48.7766868,-121.8144142
Mt. Spokane,Freedom,47.9229355,-117.1128596
